"index";"Company";"TypeName";"Inches";"ScreenResolution";"resolution_width";"resolution_height";"touchscreen";"Cpu";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"Memory";"memory_type";"primary_storage";"secondary_storage";"Gpu";"OpSys";"Weight";"Price";"ppi"
23;"Dell";"2 in 1 Convertible";13.3;"Full HD / Touchscreen 1920x1080";1920;1080;1;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";13;43636;166
24;"HP";"Ultrabook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";16;35112;141
25;"Dell";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";16;22305;100
26;"Apple";"Ultrabook";13.3;"1440x900";1440;900;0;"Intel Core i5 1.6GHz";"Intel";"Core i5";1.6;8;"128GB Flash Storage";"Flash Storage";128;0;"Intel";"macos";13;58555;128
27;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"AMD";"windows";16;42624;141
28;"Dell";"Ultrabook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8650U 1.9GHz";"Intel";"Core i7";1.9;8;"256GB SSD +  256GB SSD";"SSD";256;256;"Intel";"windows";16;69157;141
29;"HP";"Notebook";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";17;47739;127
30;"Chuwi";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Atom x5-Z8300 1.44GHz";"Intel";"Atom x5-Z8300";1.4;4;"64GB Flash Storage";"Flash Storage";64;0;"Intel";"windows";16;13053;141
31;"Asus";"Notebook";14.0;"1366x768";1366;768;0;"AMD E-Series E2-6110 1.5GHz";"AMD";"E-Series E2-6110";1.5;2;"32GB Flash Storage";"Flash Storage";32;0;"AMD";"windows";14;10603;112
32;"HP";"Notebook";17.3;"Full HD 1920x1080";1920;1080;0;"AMD A6-Series 9220 2.5GHz";"AMD";"A6-Series 9220";2.5;4;"500GB HDD";"HDD";500;0;"AMD";"windows";17;23390;127
33;"Dell";"Ultrabook";13.3;"Touchscreen / Quad HD+ 3200x1800";3200;1800;1;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Intel";"windows";13;99580;276
34;"Apple";"Ultrabook";13.3;"1440x900";1440;900;0;"Intel Core i5 1.6GHz";"Intel";"Core i5";1.6;8;"256GB Flash Storage";"Flash Storage";256;0;"Intel";"macos";13;53173;128
35;"Lenovo";"Notebook";14.0;"1366x768";1366;768;0;"Intel Celeron Dual Core N3350 1.1GHz";"Intel";"Celeron Dual";1.1;4;"64GB Flash Storage";"Flash Storage";64;0;"Intel";"windows";14;13267;112
36;"Acer";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i3 7130U 2.7GHz";"Intel";"Core i3";2.7;4;"1TB HDD";"HDD";1024;0;"Intel";"linux";16;19554;100
37;"Dell";"Notebook";17.3;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"AMD";"windows";17;52161;127
38;"HP";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";16;26037;100
39;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";16;46833;141
40;"Asus";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Intel";"linux";16;20726;141
41;"Dell";"Gaming";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";16;79867;141
42;"Asus";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"1TB HDD";"HDD";1024;0;"Nvidia";"linux";16;27865;100
43;"Acer";"Notebook";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;4;"256GB SSD";"SSD";256;0;"Intel";"windows";16;36337;141
44;"Dell";"2 in 1 Convertible";17.3;"Full HD / Touchscreen 1920x1080";1920;1080;1;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;12;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";17;53227;127
45;"Apple";"Ultrabook";13.3;"IPS Panel Retina Display 2560x1600";2560;1600;0;"Intel Core i5 2.0GHz";"Intel";"Core i5";2.0;8;"256GB SSD";"SSD";256;0;"Intel";"macos";13;75604;227
47;"Asus";"Gaming";17.3;"Full HD 1920x1080";1920;1080;0;"AMD Ryzen 1700 3GHz";"AMD";"Ryzen 1700";3.0;8;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"AMD";"windows";17;69211;127
48;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;4;"256GB SSD";"SSD";256;0;"AMD";"windows";16;34046;141
49;"Asus";"Notebook";17.3;"1366x768";1366;768;0;"Intel Pentium Quad Core N4200 1.1GHz";"Intel";"Pentium Quad";1.1;4;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";17;24828;91
51;"Acer";"Notebook";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";16;44808;141
52;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"AMD A6-Series 9220 2.5GHz";"AMD";"A6-Series 9220";2.5;4;"256GB SSD";"SSD";256;0;"AMD";"windows";16;21232;141
53;"HP";"Notebook";13.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"512GB SSD";"SSD";512;0;"Intel";"windows";13;58768;166
54;"Acer";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i3 7100U 2.4GHz";"Intel";"Core i3";2.4;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";16;20460;100
55;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"AMD";"windows";16;40908;141
56;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"128GB SSD";"SSD";128;0;"Intel";"windows";16;23390;141
57;"Asus";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;4;"256GB SSD";"SSD";256;0;"Intel";"windows";16;31232;100
58;"MSI";"Gaming";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;16;"256GB SSD +  2TB HDD";"Hybrid";256;2048;"Nvidia";"windows";17;130483;127
59;"Asus";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"256GB SSD";"SSD";256;0;"Intel";"linux";16;22111;141
60;"Dell";"Notebook";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;16;"256GB SSD +  2TB HDD";"Hybrid";256;2048;"AMD";"windows";17;69211;127
61;"Dell";"Ultrabook";14.0;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";14;46833;157
62;"Lenovo";"Notebook";14.0;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i3 7130U 2.7GHz";"Intel";"Core i3";2.7;8;"256GB SSD";"SSD";256;0;"Intel";"N/A";14;31915;157
63;"Asus";"Notebook";14.0;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";14;50136;157
64;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";16;36763;141
65;"Asus";"Ultrabook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;16;"512GB SSD";"SSD";512;0;"Nvidia";"windows";16;105654;141
66;"HP";"Notebook";15.6;"1366x768";1366;768;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"500GB HDD";"HDD";500;0;"AMD";"windows";16;23373;100
67;"HP";"Notebook";14.0;"1366x768";1366;768;0;"Intel Celeron Dual Core N3060 1.6GHz";"Intel";"Celeron Dual";1.6;4;"32GB SSD";"SSD";32;0;"Intel";"windows";14;12201;112
68;"Lenovo";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";16;29251;141
69;"Asus";"Gaming";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;12;"1TB HDD";"HDD";1024;0;"Nvidia";"linux";17;50563;127
70;"Microsoft";"Ultrabook";13.5;"Touchscreen 2256x1504";2256;1504;1;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;4;"128GB SSD";"SSD";128;0;"Intel";"windows";14;58022;201
71;"Dell";"Ultrabook";13.3;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;64;"256GB SSD";"SSD";256;0;"AMD";"windows";13;50882;166
72;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"AMD";"windows";16;46354;141
73;"MSI";"Gaming";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7300HQ 2.5GHz";"Intel";"Core i5";2.5;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";17;58342;127
74;"Acer";"Notebook";14.0;"1366x768";1366;768;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;8;"1TB HDD";"HDD";1024;0;"Intel";"windows";14;20726;112
75;"Asus";"Gaming";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;8;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";16;50563;141
76;"Lenovo";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"2TB HDD";"HDD";2048;0;"Intel";"N/A";16;27652;141
77;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Intel";"windows";16;45554;141
78;"Acer";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 7130U 2.7GHz";"Intel";"Core i3";2.7;4;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";16;28238;141
79;"HP";"Notebook";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";17;52055;127
80;"Dell";"Ultrabook";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";16;58403;141
81;"Apple";"Ultrabook";12.0;"IPS Panel Retina Display 2304x1440";2304;1440;0;"Intel Core i5 1.3GHz";"Intel";"Core i5";1.3;8;"512GB SSD";"SSD";512;0;"Intel";"macos";12;80453;226
82;"HP";"Notebook";14.0;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";14;45821;157
83;"Lenovo";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"AMD A6-Series 9220 2.5GHz";"AMD";"A6-Series 9220";2.5;4;"128GB SSD";"SSD";128;0;"AMD";"windows";16;21259;141
84;"Acer";"Notebook";15.6;"1366x768";1366;768;0;"AMD A9-Series 9420 3GHz";"AMD";"A9-Series 9420";3.0;4;"1TB HDD";"HDD";1024;0;"AMD";"windows";16;21046;100
85;"Dell";"Gaming";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;16;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";16;71875;141
86;"HP";"Ultrabook";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";16;37243;141
87;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";16;31914;141
88;"Asus";"Gaming";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;16;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";16;77203;141
89;"Dell";"Ultrabook";13.3;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Intel";"windows";13;87859;166
90;"Asus";"Gaming";15.6;"Full HD 1920x1080";1920;1080;0;"AMD FX 9830P 3GHz";"AMD";"FX 9830P";3.0;8;"1TB HDD";"HDD";1024;0;"AMD";"windows";16;37243;141
91;"Acer";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;2;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";16;36710;141
92;"HP";"Notebook";13.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Intel";"windows";13;63776;166
93;"Dell";"Gaming";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7300HQ 2.5GHz";"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";16;63670;141
94;"Asus";"Ultrabook";14.0;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7500U 2.7GHz";"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Intel";"windows";14;55891;157
95;"Acer";"2 in 1 Convertible";13.3;"IPS Panel Full HD / Touchscreen 1920x1080";1920;1080;1;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";13;45128;166
96;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7500U 2.7GHz";"Intel";"Core i7";2.7;8;"1TB HDD";"HDD";1024;0;"AMD";"linux";16;31963;141
97;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"256GB SSD";"SSD";256;0;"AMD";"linux";16;25841;141
98;"Asus";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 7100U 2.4GHz";"Intel";"Core i3";2.4;6;"256GB SSD";"SSD";256;0;"Nvidia";"windows";16;30743;141
99;"HP";"Gaming";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;12;"128GB SSD +  1TB HDD";"Hybrid";128;1024;"Nvidia";"windows";16;66547;141
100;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7500U 2.7GHz";"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"AMD";"windows";16;38308;141
101;"HP";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"AMD E-Series E2-9000e 1.5GHz";"AMD";"E-Series E2-9000e";1.5;4;"500GB HDD";"HDD";500;0;"AMD";"windows";16;18595;141
102;"Dell";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"1TB HDD";"HDD";1024;0;"AMD";"linux";16;34472;141
103;"HP";"Ultrabook";13.3;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 7500U 2.7GHz";"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";13;59620;166
104;"Microsoft";"Ultrabook";13.5;"Touchscreen 2256x1504";2256;1504;1;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";14;71395;201
105;"HP";"Notebook";14.0;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;6;"256GB SSD";"SSD";256;0;"Nvidia";"windows";14;35112;157
106;"Lenovo";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Intel";"windows";16;22106;141
107;"Asus";"Ultrabook";14.0;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 7500U 2.7GHz";"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";14;63563;157
108;"MSI";"Gaming";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";16;69211;141
109;"Lenovo";"Notebook";14.0;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 7500U 2.7GHz";"Intel";"Core i7";2.7;8;"256GB SSD";"SSD";256;0;"Intel";"windows";14;78854;157
110;"Asus";"Ultrabook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;16;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";16;67239;141
111;"Dell";"Ultrabook";13.3;"Quad HD+ / Touchscreen 3200x1800";3200;1800;1;"Intel Core i7 7560U 2.4GHz";"Intel";"Core i7";2.4;8;"256GB SSD";"SSD";256;0;"Intel";"windows";13;73473;276
112;"Lenovo";"2 in 1 Convertible";13.3;"IPS Panel Full HD / Touchscreen 1920x1080";1920;1080;1;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Intel";"windows";13;74539;166
113;"HP";"Notebook";14.0;"IPS Panel 1366x768";1366;768;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;4;"500GB HDD";"HDD";500;0;"Intel";"windows";14;38468;112
114;"Dell";"Ultrabook";13.3;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"256GB SSD";"SSD";256;0;"Intel";"windows";13;86793;166
116;"HP";"Notebook";14.0;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"512GB SSD";"SSD";512;0;"Intel";"windows";14;57756;157
117;"Dell";"Notebook";15.6;"IPS Panel Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD +  1TB HDD";"Hybrid";256;1024;"Nvidia";"windows";16;60224;141
118;"Asus";"Notebook";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i3 6006U 2GHz";"Intel";"Core i3";2.0;4;"1TB HDD";"HDD";1024;0;"Nvidia";"windows";17;30050;127
119;"Asus";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;8;"256GB SSD";"SSD";256;0;"Nvidia";"windows";16;59567;141
120;"Acer";"Notebook";15.6;"IPS Panel Full HD / Touchscreen 1920x1080";1920;1080;1;"Intel Core i3 7100U 2.4GHz";"Intel";"Core i3";2.4;6;"1TB HDD";"HDD";1024;0;"Intel";"windows";16;25521;141
121;"MSI";"Gaming";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 7700HQ 2.8GHz";"Intel";"Core i7";2.8;16;"256GB SSD +  2TB HDD";"Hybrid";256;2048;"Nvidia";"windows";16;119427;141
122;"Lenovo";"Notebook";15.6;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 7200U 2.5GHz";"Intel";"Core i5";2.5;8;"256GB SSD";"SSD";256;0;"Nvidia";"N/A";16;33513;141
123;"HP";"Notebook";17.3;"Full HD 1920x1080";1920;1080;0;"Intel Core i7 8550U 1.8GHz";"Intel";"Core i7";1.8;16;"512GB SSD";"SSD";512;0;"Nvidia";"windows";17;67719;127
124;"Acer";"Notebook";15.6;"1366x768";1366;768;0;"AMD A9-Series 9420 3GHz";"AMD";"A9-Series 9420";3.0;4;"256GB SSD";"SSD";256;0;"AMD";"windows";16;24029;100
126;"HP";"Notebook";14.0;"Full HD 1920x1080";1920;1080;0;"Intel Core i5 8250U 1.6GHz";"Intel";"Core i5";1.6;8;"1TB HDD";"HDD";1024;0;"Intel";"windows";14;43263;157
